
2024/10/18 (22:29:39) | ===> btop++ v.1.4.0
2024/10/18 (22:29:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:18:18) | ===> btop++ v.1.4.0
2024/10/19 (21:18:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:18:21) | ===> btop++ v.1.4.0
2024/10/19 (21:18:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:01:36) | ===> btop++ v.1.4.0
2024/10/19 (22:01:36) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/19 (22:01:40) | ===> btop++ v.1.4.0
2024/10/19 (22:01:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:02:18) | ===> btop++ v.1.4.0
2024/10/19 (22:02:18) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/19 (22:02:20) | ===> btop++ v.1.4.0
2024/10/19 (22:02:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (20:43:53) | ===> btop++ v.1.4.0
2024/10/20 (20:43:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/20 (20:43:56) | ===> btop++ v.1.4.0
2024/10/20 (20:43:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (20:44:01) | ===> btop++ v.1.4.0
2024/10/20 (20:44:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (22:42:48) | ===> btop++ v.1.4.0
2024/10/21 (22:42:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:59:15) | ===> btop++ v.1.4.0
2024/10/23 (12:59:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:59:24) | ===> btop++ v.1.4.0
2024/10/23 (12:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (14:42:46) | ===> btop++ v.1.4.0
2024/10/23 (14:42:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:29:44) | ===> btop++ v.1.4.0
2024/10/23 (15:29:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:29:57) | ===> btop++ v.1.4.0
2024/10/23 (15:29:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/23 (15:30:03) | ===> btop++ v.1.4.0
2024/10/23 (15:30:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:30:05) | ===> btop++ v.1.4.0
2024/10/23 (15:30:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (21:28:25) | ===> btop++ v.1.4.0
2024/10/25 (21:28:25) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/25 (21:28:28) | ===> btop++ v.1.4.0
2024/10/25 (21:28:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (19:16:14) | ===> btop++ v.1.4.0
2024/10/30 (19:16:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (19:32:41) | ===> btop++ v.1.4.0
2024/11/05 (19:32:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (21:10:01) | ===> btop++ v.1.4.0
2024/11/17 (21:10:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (14:58:48) | ===> btop++ v.1.4.0
2024/12/03 (14:58:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:41:38) | ===> btop++ v.1.4.0
2024/12/16 (10:41:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (19:31:46) | ===> btop++ v.1.4.0
2024/12/26 (19:31:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (19:32:32) | ===> btop++ v.1.4.0
2024/12/26 (19:32:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (19:35:52) | ===> btop++ v.1.4.0
2024/12/26 (19:35:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:31:44) | ===> btop++ v.1.4.0
2024/12/26 (21:31:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:32:01) | ===> btop++ v.1.4.0
2024/12/26 (21:32:01) | WARNING: Intel GPU: Failed to initialize PMU
